metric,value
activation_feature_count,3
allowed_next_step,Step88
allowed_next_step_scope,squid_proxy plus runtime geometry diagnostic-only plus wall velocity solid_vel combined canonical driver 3-step smoke only
boundary_motion_interface_report_pass_count,1
canonical_driver_module,src.mpm_lbm.sim.drivers.fsi_driver
combined_runtime_geometry_wall_velocity_enabled_count,1
driver_run_called_count,1
driver_run_required,True
gate_source_step,Step87
geometry_motion_interface_report_pass_count,1
geometry_quality_report_pass_count,1
grid_48_enabled_count,0
grid_64_enabled_count,0
has_inf_count,0
has_nan_count,0
legacy_driver_module_used_count,0
link_area_enabled_count,0
max_lbm_max_v,0.00046188393025659025
max_mpm_max_speed,0.0054171099327504635
max_rho_max,1.000001072883606
min_completed_lbm_steps,3
min_diagnostics_row_count,4
min_mpm_min_J,0.9997814893722534
min_rho_min,0.9994185566902161
min_total_mpm_substeps,3
missing_required_rows,[]
optional_row_count,0
physics_feature_expansion,squid_proxy_runtime_geometry_diagnostic_only_wall_velocity_solid_vel_only
post_gate_simulation_allowed,True
previous_step,Step87
procedural_geometry_enabled_count,1
real_geometry_candidate_enabled_count,0
real_geometry_enabled_count,0
required_row_count,1
required_rows_present,"[""canonical_driver_squid_proxy_runtime_geometry_diagnostic_only_wall_velocity_solid_vel_32_3step_smoke""]"
required_stable_count,1
row_count,1
runtime_code_changed,False
runtime_geometry_enabled_count,1
runtime_hard_fail_count,0
runtime_warning_count,0
slowest_elapsed_seconds,56.32988040000782
slowest_row_name,canonical_driver_squid_proxy_runtime_geometry_diagnostic_only_wall_velocity_solid_vel_32_3step_smoke
solver_behavior_changed,False
squid_proxy_enabled_count,1
stable_count,1
step88_squid_proxy_runtime_geometry_wall_velocity_combined_smoke_matrix_pass,True
total_elapsed_seconds,56.32988040000782
wall_velocity_application_report_pass_count,1
wall_velocity_enabled_count,1
write_particles_count,0
write_vtk_count,0
